Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term_Months,Default_Status
1,59,10751,1728,737,60,Yes
2,49,12982,5248,502,60,No
3,35,17746,8010,693,24,No
4,63,48161,15718,605,24,No
5,28,19469,4315,715,24,No
6,41,17425,9386,734,36,Yes
7,59,9540,4497,467,60,Yes
8,39,15861,8722,633,24,Yes
9,43,11890,6054,654,24,Yes
10,31,13338,7938,461,48,Yes
11,31,23387,4585,668,24,No
12,44,18023,2584,607,48,No
13,56,51521,13833,553,12,Yes
14,60,37759,6211,597,24,No
15,44,16245,5873,584,48,Yes
16,23,13927,5800,604,24,No
17,42,43972,17111,664,12,No
18,22,50514,11599,728,24,No
19,44,7353,4076,643,48,No
20,64,23073,2551,738,12,No
21,50,19420,5321,566,12,No
22,58,30471,14001,662,12,No
23,22,58182,28128,818,36,No
24,41,17291,5326,522,48,Yes
25,53,7860,852,519,36,Yes
26,32,29422,12034,752,12,No
27,42,44133,5805,667,36,No
28,64,18922,2912,601,24,No
29,45,15482,6581,559,36,Yes
30,47,17700,4535,647,60,No
31,62,33694,9232,660,12,No
32,48,17549,6026,661,12,No
33,36,25961,15298,558,48,Yes
34,35,22334,13014,623,24,No
35,64,21211,6535,604,48,No
36,23,31277,7279,701,36,No
37,57,17338,4356,563,60,No
38,27,17760,4162,656,60,No
39,41,32820,12016,850,60,No
40,29,13447,5424,558,60,Yes
41,59,14184,4884,590,24,Yes
42,38,11729,3565,642,36,No
43,24,33674,6924,414,60,Yes
44,45,20897,7131,535,12,No
45,34,11420,3089,674,36,No
46,29,33755,12516,635,24,No
47,46,16684,7300,734,60,No
48,22,14244,5934,630,24,No
49,40,19973,6615,623,60,No
50,48,46136,17440,593,12,No
51,27,18079,4382,622,36,No
52,64,29368,3292,553,12,No
53,28,31683,13069,638,60,No
54,55,27491,6220,572,48,Yes
55,34,41586,18068,553,36,No
56,37,15466,7323,598,24,Yes
57,56,13073,7294,686,60,No
58,60,12945,7495,661,12,No
59,24,20491,2156,703,48,No
60,22,13718,8164,576,60,Yes
61,26,23712,10469,648,24,No
62,62,22890,9654,786,12,No
63,24,36654,3944,761,36,No
64,49,25478,13519,548,48,Yes
65,38,17888,3090,569,60,Yes
66,46,27049,14029,785,60,No
67,64,13159,1418,686,60,No
68,54,21610,9140,634,60,No
69,30,25840,8201,625,12,No
70,56,23497,4708,668,36,No
71,34,27106,4168,669,24,No
72,51,15962,5108,607,48,No
73,35,39183,6334,636,60,No
74,28,54780,18801,604,60,No
75,34,9883,4077,663,36,No
76,43,11994,6161,590,36,Yes
77,60,22506,9887,548,12,No
78,41,19374,2568,768,12,No
79,36,56851,14424,644,12,No
80,38,24585,5998,785,48,No
81,44,44190,24636,495,12,Yes
82,46,7906,4220,534,60,Yes
83,45,33093,9433,687,12,No
84,61,15401,2088,644,48,No
85,49,15278,8357,557,12,Yes
86,35,19454,10584,740,12,No
87,21,10804,5697,580,60,Yes
88,45,27484,14361,745,60,No
89,27,24230,8241,644,60,No
90,29,25162,4748,564,12,Yes
91,44,34321,11626,596,60,No
92,21,46975,16314,759,36,No
93,64,18363,6334,626,24,No
94,28,27964,10329,727,24,No
95,44,25501,5835,762,60,No
96,31,26603,7531,643,48,No
97,37,26803,8499,632,60,No
98,28,48788,8077,617,60,No
99,55,17503,5735,678,12,No
100,55,10271,5189,770,48,No
101,53,15538,7986,551,60,Yes
102,25,32164,9835,667,36,No
103,62,22284,8008,664,24,No
104,59,17434,2036,505,36,Yes
105,61,12858,5621,579,36,No
106,48,24603,7437,595,36,No
107,27,30401,9811,711,48,No
108,29,25666,13778,725,48,No
109,28,19405,6421,499,48,No
110,32,23702,2621,701,24,No
111,54,23633,5051,690,12,No
112,53,24217,8180,696,60,No
113,43,12183,3803,662,60,No
114,44,24310,12888,726,12,No
115,57,17671,6557,743,60,No
116,55,37060,16484,519,36,Yes
117,64,23540,7877,646,24,No
118,60,33447,10697,629,60,No
119,42,18941,6120,604,24,No
120,47,19286,5891,613,12,No
121,55,46496,17170,664,60,No
122,21,27396,6170,546,24,Yes
123,55,15409,8406,703,36,No
124,57,34492,9193,620,36,No
125,34,16870,2931,719,12,No
126,23,24657,3656,600,48,No
127,21,55178,5888,596,60,No
128,25,10768,3353,574,36,No
129,46,20173,3909,600,36,No
130,34,27014,2993,585,12,Yes
131,59,32284,11622,684,36,No
132,47,11841,5209,733,60,No
133,29,10220,1460,681,12,No
134,35,38001,12557,643,24,No
135,35,15364,7248,688,12,No
136,46,15045,8920,647,60,No
137,62,47816,20732,652,60,No
138,33,22807,5072,625,24,No
139,52,22882,10486,716,12,No
140,59,20132,8031,444,60,Yes
141,52,11944,2459,479,60,Yes
142,24,30879,16228,732,24,No
143,50,27030,8479,634,48,No
144,57,23964,13922,723,12,No
145,43,20781,9589,601,60,No
146,59,19031,8036,783,36,No
147,35,34760,16134,639,24,No
148,63,20524,6958,685,48,No
149,49,21332,7521,614,48,No
150,56,28708,15089,578,24,Yes
151,33,24440,10764,510,48,Yes
152,52,50068,27468,712,60,No
153,27,9129,4979,681,48,No
154,42,25589,15052,657,12,No
155,48,15478,6966,558,36,Yes
156,22,13752,4829,763,60,No
157,62,17526,3209,658,24,No
158,26,22636,10247,706,36,No
159,48,23145,5688,649,60,No
160,48,10314,2490,562,36,No
161,64,16805,3682,729,48,Yes
162,64,25351,13627,686,24,No
163,40,14207,7586,635,24,No
164,50,12614,5240,684,12,Yes
165,31,7129,2398,715,48,No
166,48,15810,6894,702,12,No
167,45,12396,5003,513,12,Yes
168,59,13467,4146,530,48,Yes
169,53,19227,5572,708,60,No
170,21,16319,4755,594,12,Yes
171,47,12294,4850,566,36,Yes
172,33,7647,3241,679,60,No
173,61,25620,8348,563,48,Yes
174,23,32093,18753,611,24,No
175,59,18063,2563,718,60,No
176,26,19285,5274,528,12,No
177,28,22057,6827,540,36,Yes
178,47,48503,5260,521,48,Yes
179,29,10058,2841,581,24,Yes
180,57,17903,4240,656,36,No
181,53,9311,3286,600,24,No
182,62,26401,7080,770,48,No
183,64,20496,9491,686,60,No
184,44,24379,8653,648,12,No
185,35,23779,3920,751,48,No
186,52,36147,17170,543,36,Yes
187,52,28826,4312,719,60,No
188,44,33364,17333,631,24,Yes
189,61,12929,7314,613,60,No
190,32,39998,10448,698,60,No
191,59,15349,8642,616,36,No
192,22,15796,7842,664,12,No
193,23,25220,14153,642,60,No
194,57,25615,11094,674,60,No
195,37,12888,2807,609,12,No
196,22,20198,11053,724,12,No
197,22,46356,8906,486,24,Yes
198,48,10570,2183,701,24,No
199,43,46286,10901,498,12,No
200,57,19519,4921,589,48,No
201,52,6843,2444,691,12,No
202,53,11121,5079,488,24,Yes
203,21,13605,7661,663,36,Yes
204,39,16123,2325,540,36,Yes
205,22,20902,12064,572,60,Yes
206,64,5700,3195,568,36,Yes
207,46,24182,3071,542,24,Yes
208,52,12996,3640,511,36,Yes
209,26,44146,22363,815,48,No
210,52,19243,7808,635,12,No
211,24,35292,17277,551,12,Yes
212,31,38375,17633,605,24,No
213,37,37859,13189,652,60,No
214,58,16594,2001,619,12,No
215,44,16488,6465,548,36,No
216,25,19683,2446,578,48,No
217,54,30276,12166,744,60,No
218,26,17062,8534,537,60,Yes
219,42,20751,8144,490,60,Yes
220,31,25255,15115,618,12,No
221,36,14010,4594,495,60,Yes
222,53,13574,6439,577,24,Yes
223,29,20350,8823,549,36,No
224,26,21743,12952,550,48,Yes
225,36,27362,12493,655,36,No
226,49,30820,5609,670,24,No
227,23,12714,7345,585,24,Yes
228,40,14675,6367,642,36,Yes
229,56,13556,1757,581,12,Yes
230,39,44632,19137,682,24,No
231,46,20740,11231,531,60,No
232,23,22204,8626,663,48,No
233,39,22672,6280,669,48,No
234,40,15400,7861,836,24,Yes
235,52,48152,23654,509,60,Yes
236,27,27051,10065,850,36,No
237,61,22466,3980,710,48,No
238,53,12674,2857,796,60,No
239,60,12320,5781,722,60,No
240,59,18874,9494,574,12,Yes
241,38,15521,3719,702,24,No
242,60,12916,3668,596,60,Yes
243,21,18297,2539,642,36,No
244,31,19767,9028,556,48,Yes
245,48,23644,2406,595,12,No
246,45,17120,2110,721,36,No
247,43,13309,1359,685,48,No
248,51,13541,5723,731,24,Yes
249,50,40396,12469,538,36,No
250,62,11779,2930,500,48,No
251,55,26412,14694,738,12,No
252,27,28560,5609,732,48,No
253,36,20730,6108,666,60,No
254,46,53311,30395,683,12,No
255,22,28306,8875,719,36,No
256,21,55351,20886,664,24,No
257,32,15906,2229,692,12,No
258,25,16042,7942,715,12,Yes
259,57,28674,8928,642,12,No
260,52,19327,9668,622,48,No
261,29,51166,11609,680,60,No
262,61,26130,8132,831,24,No
263,55,13065,6444,582,24,Yes
264,39,9242,5424,615,60,Yes
265,36,21181,2749,509,48,No
266,23,21066,10664,684,48,No
267,40,25767,6450,607,60,No
268,44,40349,15145,537,60,No
269,53,37780,9257,644,36,No
270,44,16490,6706,769,48,Yes
271,31,11534,3193,621,12,No
272,28,11883,3170,629,24,No
273,56,15238,1812,766,48,Yes
274,58,18336,3180,649,60,No
275,60,25655,14329,553,12,Yes
276,40,14757,8841,705,36,No
277,55,25341,12423,739,36,No
278,45,26397,6425,633,12,No
279,55,23663,7127,660,12,No
280,45,12527,5884,545,60,Yes
281,49,27831,16260,580,60,Yes
282,38,62357,20436,623,24,No
283,38,24908,12821,656,24,Yes
284,22,5031,2955,600,36,Yes
285,55,40963,21986,620,12,Yes
286,36,15500,3310,640,36,No
287,61,68381,7112,570,60,No
288,56,23346,8078,628,48,No
289,53,9486,3468,742,60,No
290,24,7845,1573,602,48,No
291,53,47565,11526,577,12,Yes
292,34,38290,18477,816,12,No
293,41,67037,22469,668,12,No
294,40,22147,5728,588,24,No
295,28,21412,8807,701,24,No
296,27,18190,7755,670,48,No
297,23,15848,7681,604,36,Yes
298,37,18102,3228,646,36,No
299,53,24556,11559,626,48,No
300,32,14444,5773,729,24,No
301,42,9560,1231,704,60,No
302,42,23859,11660,478,48,No
303,50,14284,4164,802,36,Yes
304,58,4360,1156,626,48,No
305,58,29035,9408,787,48,No
306,28,12657,3456,707,12,Yes
307,47,30665,8253,669,24,No
308,47,30300,15272,642,12,No
309,54,25381,4118,850,24,No
310,41,76757,44925,628,48,Yes
311,50,20557,7759,596,24,No
312,53,19094,3655,603,36,No
313,48,31002,5134,650,12,No
314,53,21424,8478,649,48,No
315,25,39349,16388,730,36,No
316,39,11679,1477,710,24,No
317,24,11777,2608,710,24,No
318,55,32302,16077,631,36,No
319,37,12302,1535,704,24,No
320,64,29868,15756,712,12,No
321,48,26502,11371,643,60,No
322,50,15564,4937,672,24,No
323,49,26465,7230,712,48,No
324,26,11881,1302,666,24,No
325,55,13360,6848,674,48,No
326,61,19563,3352,762,24,No
327,57,22913,5837,667,24,No
328,44,18923,7276,601,48,No
329,49,27352,6099,542,12,No
330,51,26748,9323,659,60,No
331,55,47319,23880,623,60,No
332,53,21001,7040,714,12,No
333,41,40025,22993,776,24,No
334,52,34904,18280,567,60,Yes
335,43,69354,18484,579,12,No
336,53,20668,6200,648,12,No
337,23,17851,5563,586,60,No
338,38,41309,17064,632,48,No
339,45,26707,6500,607,36,No
340,62,41807,24441,569,48,Yes
341,51,31520,12744,716,24,No
342,23,7681,2302,656,48,No
343,60,26586,11232,796,36,No
344,44,25735,7661,678,36,No
345,52,23542,11980,753,12,Yes
346,42,20617,7915,591,24,No
347,43,9936,1202,590,12,Yes
348,22,34101,6423,827,48,No
349,47,26552,14138,601,48,No
350,62,38214,14576,574,60,No
351,22,10204,5869,556,12,Yes
352,46,28383,3866,803,12,No
353,37,19587,4850,628,12,No
354,60,23668,4657,682,12,No
355,53,19700,7425,662,36,No
356,29,28905,8422,592,60,Yes
357,63,20303,3626,626,24,No
358,59,13017,5485,717,24,Yes
359,49,22999,8467,551,24,No
360,62,19789,4697,703,36,No
361,46,21126,7180,764,60,No
362,55,4474,2115,673,60,No
363,45,30986,6278,756,36,No
364,44,18819,4637,540,12,No
365,33,11225,3065,503,48,Yes
366,27,34936,16537,669,12,No
367,56,30278,15849,603,24,No
368,40,18701,5389,720,12,No
369,21,12380,3074,625,36,Yes
370,28,24077,13115,661,24,Yes
371,36,23424,14046,656,48,No
372,34,34967,15216,659,24,No
373,32,17643,10497,606,12,No
374,43,40033,17213,540,60,Yes
375,35,16812,7846,632,60,Yes
376,48,11238,3307,766,60,No
377,54,12504,3957,601,24,No
378,22,21349,3673,600,60,No
379,52,21316,10900,662,36,No
380,43,25950,14675,555,48,Yes
381,42,21053,8667,730,60,No
382,45,35905,9759,563,36,No
383,42,19330,3421,626,36,No
384,42,8118,1888,850,24,Yes
385,62,20732,4720,558,24,No
386,26,8075,3284,767,48,No
387,35,25227,14442,659,48,No
388,63,37368,4638,670,12,No
389,57,13452,1352,585,48,Yes
390,53,44769,17911,713,24,No
391,28,33570,8124,620,36,No
392,64,40265,21754,558,12,Yes
393,64,24216,6383,766,48,No
394,25,13408,3283,619,36,No
395,59,32545,7640,501,24,Yes
396,24,16118,2779,628,60,No
397,26,23363,9129,714,12,No
398,52,20217,3722,701,36,No
399,50,38651,12071,598,24,Yes
400,55,31734,10487,571,24,No
401,60,21156,2332,540,12,No
402,36,8301,899,648,12,No
403,33,16032,5773,662,48,No
404,62,31323,14033,706,48,No
405,50,25337,14469,638,12,No
406,39,10387,1968,635,12,Yes
407,37,8925,1353,627,36,No
408,39,24288,3061,662,48,No
409,48,12983,4128,639,24,Yes
410,46,13624,5607,725,48,No
411,57,30831,16040,674,48,Yes
412,46,40179,17731,658,12,No
413,43,15133,3089,646,12,No
414,29,21538,7126,574,48,No
415,32,21223,11782,649,60,No
416,21,20290,5343,598,60,Yes
417,21,22478,7853,677,48,No
418,54,32152,18625,633,60,No
419,52,15725,7349,783,48,No
420,45,10273,4868,549,12,No
421,60,51277,11597,401,12,Yes
422,21,37976,11671,671,12,No
423,36,12685,1790,598,24,Yes
424,59,23572,9505,662,12,No
425,25,36510,5544,551,12,No
426,42,32033,16591,802,48,Yes
427,49,27750,14076,619,60,No
428,23,20229,7420,593,60,No
429,32,52242,8911,801,12,No
430,46,24598,2774,717,12,No
431,36,17026,8484,761,12,No
432,57,34048,13621,636,48,No
433,42,23110,10525,653,48,No
434,49,26236,6608,602,48,No
435,34,24381,8648,592,60,Yes
436,48,28236,13372,681,24,No
437,25,13504,4473,620,60,No
438,50,10662,4272,827,48,No
439,25,45119,22327,717,36,No
440,32,24954,5180,800,24,No
441,36,32384,4305,471,12,Yes
442,46,9137,3343,801,60,No
443,46,37546,4920,459,24,No
444,41,16970,8201,549,36,Yes
445,59,14718,6764,509,24,Yes
446,56,21339,11541,669,60,No
447,53,13507,5669,648,48,No
448,50,22007,2940,713,12,No
449,57,20574,4661,642,48,No
450,43,37428,18862,748,48,No
451,30,46942,8616,575,60,Yes
452,25,46201,20755,749,48,No
453,56,7099,3479,647,48,No
454,54,13799,3657,838,60,No
455,51,7062,1844,719,60,No
456,30,12127,4594,625,36,No
457,39,15918,8446,647,48,No
458,52,27045,5732,569,24,No
459,21,16984,9691,678,12,No
460,25,17222,6881,625,12,No
461,24,24122,14378,707,60,No
462,36,9370,1356,542,60,Yes
463,44,14482,2364,623,36,No
464,36,17123,8789,557,48,Yes
465,22,19906,10597,562,60,Yes
466,48,22890,7387,698,60,No
467,52,46645,21318,739,12,No
468,47,34688,18515,463,48,No
469,40,14993,1822,798,36,Yes
470,44,19328,7479,762,60,No
471,32,18681,9840,542,60,Yes
472,55,17033,5094,716,60,No
473,53,25241,6340,613,12,No
474,53,8691,4326,642,60,No
475,63,34212,9165,698,60,No
476,57,51368,5218,688,12,No
477,32,19246,11158,604,60,No
478,23,19059,7548,603,48,No
479,21,23825,12145,608,48,No
480,53,36669,18798,741,12,No
481,60,18729,2494,501,48,No
482,30,35135,6515,637,36,No
483,63,28120,7186,775,60,No
484,64,71740,18677,706,36,No
485,49,18688,8024,734,48,No
486,33,8200,3374,638,12,No
487,32,10759,3736,556,12,Yes
488,51,22158,4556,654,36,No
489,22,36825,10715,594,48,Yes
490,55,15894,5909,828,60,No
491,43,19624,6554,637,48,No
492,37,31021,5076,700,48,No
493,46,13593,5773,786,12,No
494,28,16225,2215,562,24,Yes
495,49,12285,3551,467,60,Yes
496,46,39700,18064,689,60,No
497,30,47611,5237,704,12,No
498,46,9999,3849,616,48,No
499,54,20514,5482,557,12,No
500,61,44517,4648,674,48,No
501,27,26885,5247,648,24,No
502,24,17246,9838,675,24,No
503,31,10167,3665,559,36,No
504,49,39201,23466,675,48,No
505,56,26377,9559,715,12,No
506,45,10546,3922,529,12,Yes
507,41,39932,11816,766,12,No
508,56,9895,2523,670,36,No
509,30,19727,4453,718,60,No
510,57,19296,5242,547,12,No
511,29,49473,16322,704,24,No
512,44,19331,3788,518,12,No
513,55,19296,4099,574,12,No
514,55,11141,2626,671,12,No
515,56,15991,5191,627,60,Yes
516,38,14637,6241,652,12,No
517,59,15023,7933,804,60,No
518,52,22095,5381,650,60,No
519,44,6521,1251,706,36,No
520,43,10351,2995,644,24,No
521,52,20837,11401,642,12,No
522,57,23403,2455,571,12,Yes
523,32,19599,8602,679,12,No
524,33,21581,7306,850,60,No
525,43,17951,3240,657,48,No
526,45,21823,5685,628,24,No
527,55,27366,5814,741,12,No
528,61,27270,14696,731,48,No
529,50,15607,5320,685,48,No
530,37,34806,13280,625,48,No
531,40,23826,9455,741,24,No
532,45,40786,17122,659,48,No
533,42,45090,15681,723,12,No
534,33,10706,1166,584,12,Yes
535,39,14335,3832,603,36,No
536,56,33082,6349,657,60,No
537,32,9581,4216,551,48,Yes
538,61,44805,5750,620,60,No
539,39,18546,7082,547,60,No
540,32,29363,6028,526,60,Yes
541,29,20781,11937,844,60,No
542,27,10979,2939,601,60,No
543,48,37338,9805,608,12,No
544,34,87147,48949,656,24,No
545,51,17025,5255,565,48,No
546,39,18747,10900,609,48,No
